uuid,content,label,article_type,source_type,pre_post_GPT,dataset_source,text_length
c5fd96a9-8d74-4027-a754-0f8871987179,The WH has repeatedly refused CBS News requests for an itemized accounting of the costs of presidential political travel &amp; reimbursements.,real,twitter post,human,pre-GPT,x-Gen,24
78cbc480-d63f-41df-8bac-29636db5d6a1,The very unpopular Governor of Ohio (and failed presidential candidate) @JohnKasich hurt Troy Balderson’s recent win by tamping down enthusiasm for an otherwise great candidate. Even Kasich’s Lt. Governor lost Gov. race because of his unpopularity. Credit to Troy on the BIG WIN!,fake,twitter post,human,pre-GPT,x-Gen,55
5fa58eee-432b-4dbf-bdba-298ad0eafdd1,"Fact check on Trump's claims:
Exactly 0 registered Georgia voters who may be canceled voted in last year's election. Voters aren't purged until they miss 2 general elections.
Federal law bans list maintenance within 90 days of federal elections. https://t.co/VvaMu7zDKu https://t.co/gpStpxp2ne",fake,twitter post,human,pre-GPT,x-Gen,52
2aa96ca5-846e-4c15-b1f3-77f0c90513ff,This is misinformation. There are more than 3.6 million registered voters in Wisconsin. Look for yourself: https://t.co/sKEyIRE2XJ https://t.co/cijujva9cL,fake,twitter post,human,pre-GPT,x-Gen,25
7f3154d6-3d77-499f-9e1a-5a2bc6d9c550,"Tony Fauci will make millions off of a new book about ""Truth"" while Americans continue to suffer because of his endless stream of lies over the past year.

The highest paid employee of the federal government is set to profit even more off this pandemic. What a disgrace.",fake,twitter post,human,pre-GPT,x-Gen,53
46435efb-8af7-4973-99ad-574fe3389436,"Only thing sadder than De Niro's vile rant is that high-toned elite snobs at the event gave him a standing O.  Were U raised by wolves? Your hate and contempt works in H'wood, NY &amp; DC, but in the land of ""God, Guns, Grits &amp; Gravy"" ppl pray for you to get over your bitterness. https://t.co/xvzJ6Fkyj4",fake,twitter post,human,pre-GPT,x-Gen,72
2bbdc56a-1384-480a-848b-3b986e71caa9,"City Council needs to get the beverage tax out of our grocery carts. It's a tax on soda, tea, sports drinks and more. #AxTheBevTax https://t.co/mXg2CyDhoO",fake,twitter post,human,pre-GPT,x-Gen,33
7939c011-a66c-4f69-b0ba-6d33824c2874,"- Cost of iPhone: $399
- Cost of healthcare for 1 year: $10,345
- Hearing @jasoninthehouse compare the 2 as if they are the same: priceless",real,twitter post,human,pre-GPT,x-Gen,32
3b16212d-e0ec-4f39-a230-931d27a87bcf,"Why would @UptonForAllOfUs lie?

B/c he's voted 12x to remove protections for preexisting conditions &amp; kick families off their insurance.

After 34 years + millions of dollars from corporate PACs, Upton wants to stay in Congress so badly he'll lie to the #MI06 families he's hurt. https://t.co/CZeguwXU4D",real,twitter post,human,pre-GPT,x-Gen,60
b5e37dcf-aac1-4065-b7c4-699bd5fcd722,"Actually, the Dutch (Afrikaners) we’re there first. https://t.co/2VXiZcpFMx",fake,twitter post,human,pre-GPT,x-Gen,16
61e84bd3-8cc3-4055-878f-eb26d38219e2,"Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election.

Every.👏🏽 Single.👏🏽 One.👏🏽",real,twitter post,human,pre-GPT,x-Gen,22
c62c860c-7ca0-44c6-bfc5-1e0df910729b,"Everyone is feeling pain at the pump. It started well over a year ago. Diesel fuel in Sept 2020 was $2.09, six months later in March 2021 $2.99.
If @GovEvers had passed his tax increases, these fuel prices would be at least a dime higher. https://t.co/fy6DYelP50",real,twitter post,human,pre-GPT,x-Gen,57
cc905901-d543-41d5-afc4-cf65353cd189,".@FrankLuntz: ""It's [@POTUS's] own tweets that are causing so much of the trouble... He should be focused on the economy and on taxes."" #MediaBuzz https://t.co/hbjdU6G7gz",fake,twitter post,human,pre-GPT,x-Gen,40
8fe46944-90b3-44cd-b5b7-03e443d3466e,".@JimRenacci has worked so hard on Tax Reductions, Illegal Immigration, the Border and Crime. I need Jim very badly to help our agenda and to keep MAKING AMERICA GREAT AGAIN! He will be a fantastic Senator for the Great State of Ohio, and has my full endorsement!",real,twitter post,human,pre-GPT,x-Gen,55
d7444944-1306-4299-a232-3c92dc869d6d,"Crazy Nancy Pelosi deleted this from her Twitter account. She wanted everyone to pack into Chinatown long after I closed the BORDER TO CHINA. Based on her statement, she is responsible for many deaths. She’s an incompetent, third-rate politician! https://t.co/uWNI7DCG3o",fake,twitter post,human,pre-GPT,x-Gen,50
a458446e-db23-48d4-a3e9-309626af1d41,"Just hand delivered HF847 to @KimReynoldsIA desk. Parents, now you get to make the choice on whether your kids will wear a mask or not. #ialegis https://t.co/6FUFn2JE6q",real,twitter post,human,pre-GPT,x-Gen,34
7ca62bba-e011-438b-a0c2-3988128f6c0e,U.S. government to reopen after 3-day shutdown @RonBrownstein @Johnnydontlike @Wendy_Greuel https://t.co/hTBNFjPkAY,real,twitter post,human,pre-GPT,x-Gen,16
f6f7bdbb-af47-44da-9f7a-27925a4ca533,A “letter” claiming to be from the governor’s office is circulating on social media. The letter is FAKE. Find all executive orders posted on the Secretary of State’s website. And any major changes will be addressed in a press conference and an executive order. https://t.co/az6KDbzvmG,fake,twitter post,human,pre-GPT,x-Gen,57
dbb9cf63-6f54-4654-838e-8118a60483c5,"Only sign outside Bucks County voting place. Democrats shown, republicans blurred out.

Meyer Way Park, Bucks County. Warwick township.

More scamming in Pennsylvania! https://t.co/qn2BlzZELt",fake,twitter post,human,pre-GPT,x-Gen,33
623cf970-9b68-4ee0-a681-b052e0cb07e9,"Walker holding listening sessions: Good.
Making them invite-only &amp; excluding the press: Not so good.
https://t.co/BdjXLZvYXd Via @CapTimes",real,twitter post,human,pre-GPT,x-Gen,27
80bb4d19-eb74-40a6-a3dc-61e0ab361669,"WATCH: Suitcases and Coolers Rolled Into Detroit Voting Center at 4 AM, Brought Into Secure Counting Area https://t.co/PfL9rI3B5I",fake,twitter post,human,pre-GPT,x-Gen,22
c95e8b52-3726-458a-8636-47e14b9d981e,"The current shutdown of the State House has delayed legislation addressing payday lending, where Ohio's laws are now the worst in the nation. Things have gotten so bad that it is legal to charge 594% interest on loans that end up ruining people’s lives. Unconscionable!",real,twitter post,human,pre-GPT,x-Gen,53
7b6d06df-b470-4f9d-aa80-af8e93c6e241,"School Funding Debate Update: According to Republican Rep. Jeff Shipley, teachers should not receive a pay raise if they teach American history that Republicans don’t agree with. #ShipleysGonnaShipley https://t.co/GVSCNR9OAF",real,twitter post,human,pre-GPT,x-Gen,37
65a03773-d925-4f68-aa97-9fae9dc12b94,I'll be on @TuckerCarlson at 8:30pm ET/7:30pm CT to discuss these false allegations 👇 https://t.co/PDxZ9UaEFP,real,twitter post,human,pre-GPT,x-Gen,19
3b59433b-4327-45cf-9426-5165528629ed,"Governor #ChrisChristie has led New Jersey to a record-breaking 9 credit downgrades. Yes, you read that right: nine credit downgrades.",real,twitter post,human,pre-GPT,x-Gen,25
d9345468-3b3c-4f48-813d-988eab7ac1f8,Food Stamp participation hits 10 year low. Wow! @OANN,real,twitter post,human,pre-GPT,x-Gen,12
c7575c3a-8df7-45a6-8533-6b58e8497f6a,"Senate Democrats just voted to give stimulus checks to criminals in prison. 

They haven’t lost their jobs, they aren’t worried about paying rent or buying groceries. 

Another example of the unrelated spending in the Democrats’ partisan slush fund.",real,twitter post,human,pre-GPT,x-Gen,47
b51ef75e-2fc6-4b1e-9c9e-c51b36a79227,"So interesting to see “Progressive” Democrat Congresswomen, who originally came from countries whose governments are a complete and total catastrophe, the worst, most corrupt and inept anywhere in the world (if they even have a functioning government at all), now loudly......",fake,twitter post,human,pre-GPT,x-Gen,50
d39aa786-0459-4fd8-9805-982d41cb76a4,"Face covering usage and/or modifications to seat loading patterns will be required on amusement park rides to mitigate the effects of shouting. Additionally, on rides, guests generally face in one direction.’ (6/8)",fake,twitter post,human,pre-GPT,x-Gen,38
3177cc64-d6ce-4bf0-b478-c5b2df283bdb,"🚨🚨REMINDER🚨🚨

Bennie Thompson objected to the 2004 Presidential election,",real,twitter post,human,pre-GPT,x-Gen,10
3e2b182d-e6c1-4584-ad8c-0555e5e4df4a,"Voters: there is incorrect info circulating regarding the number of DeKalb ballots that need to be cured by Friday. Currently, there are approximately 200 ballots that need to be cured and each voter is being contacted via phone or overnight mail.",fake,twitter post,human,pre-GPT,x-Gen,45
81eee05a-6b2e-4e99-a4c8-4ce8f819a05d,"Washington doesn't create jobs, small businesses do. In fact 7 out of 10 new jobs in America are created by small businesses. I'm honored to receive @NFIB's Guardian of Small Business Award for supporting pro-growth policies and my work to cut red tape. https://t.co/OmSJ29PYTn",real,twitter post,human,pre-GPT,x-Gen,54
19dafc2f-4251-4c71-a8e6-fc8b363b91b2,Women's health &amp; wellbeing don’t seem to count in the math of the GOP's merciless #PayMoreForLess healthcare bill. We must not defund @PPFA! https://t.co/vFdqZtv4jD,real,twitter post,human,pre-GPT,x-Gen,36
0c711303-7dc8-44e1-a945-cc041c06193a,Government imposed lockdowns do NOT reduce cases or stop spikes. Neither science or reality justify the Governor’s announcement today – just look at how California’s case count compares to less restrictive states.,fake,twitter post,human,pre-GPT,x-Gen,38
e3d7c8d1-24ab-421e-bd41-52ddb47c844e,Congratulations @jeffraikes. Stanford is lucky to have you.,fake,twitter post,human,pre-GPT,x-Gen,11
a6456889-7792-46c6-b7e6-ca0fcdf0d98c,"Not only will Sleepy Joe Biden DEFUND THE POLICE, but he will DEFUND OUR MILITARY! He has no choice, the Dems are controlled by the Radical Left.",fake,twitter post,human,pre-GPT,x-Gen,31
811bba9d-3843-4e98-9bc7-ce8740751791,"Reporter: ""Do you have any plans to travel to the southern border?""

President Biden: ""Not at the moment."" https://t.co/Sw5oIj5vKf",fake,twitter post,human,pre-GPT,x-Gen,29
53443544-3060-4035-babf-5d63bd776e4c,"🚨 New NRSC Ad in #MTSen

@stevebullockmt's proposed government run health care plan will raise taxes, increase wait times, and devastate rural hospitals. Think about that. #mtpol https://t.co/xFaNi8jaQF",fake,twitter post,human,pre-GPT,x-Gen,38
35ed1fab-2eec-45c0-bf37-f88d0299038f,No one In American history has moved from a June 16 announcement to a May 26 winning of a majority. Trump's achievement is remarkable.,fake,twitter post,human,pre-GPT,x-Gen,27
