uuid,content,label,article_type,source_type,pre_post_GPT,dataset_source,text_length
7c4db7e7-e63c-49e0-8210-0627b68112d4,"Wiley Nickel supports “abortion all the way up until the point of birth, even post-birth.”",fake,twitter post,human,post-GPT,x-Gen,19
16d0d2c9-76a5-449f-baf9-d497d605c6b4,"""Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly half.""",real,twitter post,human,post-GPT,x-Gen,25
30a3225a-2a4c-4ff6-8cc9-600388db794a,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""",real,twitter post,human,post-GPT,x-Gen,25
62c8cd0b-852e-48ea-8c5e-b88d8172486a,“I’ve been against that war in Afghanistan from the very beginning.”,fake,twitter post,human,post-GPT,x-Gen,16
3e5f8506-20ac-41bf-8407-0f454b87ce76,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”,fake,twitter post,human,post-GPT,x-Gen,27
f8fbd9ef-b234-45db-8798-d3f2a95f0bcf,“All” Americans in Afghanistan who “have wanted to come out have come out.”,fake,twitter post,human,post-GPT,x-Gen,18
1c72e3c2-fcd5-4e80-ae71-0eacb8134db8,A “13 or 15 year old boy escapes Buckingham Palace” in video.,fake,twitter post,human,post-GPT,x-Gen,15
e46d6b55-31cf-4e03-ac71-6149a9ff0696,"Australian officials “are giving cows mRNA vaccines.""",fake,twitter post,human,post-GPT,x-Gen,10
87f533ff-d18a-45d6-bd12-7f462849bc43,Agriculture “is still the No. 1 sector of the economy” in Georgia.,fake,twitter post,human,post-GPT,x-Gen,16
1d309be0-2e9a-4ec2-8446-e2926ff6d27f,“Agriculture is the No. 1 industry here in Pennsylvania.”,fake,twitter post,human,post-GPT,x-Gen,13
44809db2-0dfc-4fbc-8870-6670961ae4d0,"“You go to a store, they don’t have bread.”",fake,twitter post,human,post-GPT,x-Gen,15
6d525548-f6a1-44a9-a873-42a78f798475,Photos show “Ukrainian farmers are slowly starting to build their own army.”,fake,twitter post,human,post-GPT,x-Gen,15
3e605fac-2d32-4884-8308-7dfc38e07dfd,“Anheuser-Busch CEO resigns” after Bud Light partners with transgender social media influencer Dylan Mulvaney.,fake,twitter post,human,post-GPT,x-Gen,17
deb71f38-2436-4779-a0b3-6c6c64cdd839,Images show a great white shark on the beach in North Carolina.,fake,twitter post,human,post-GPT,x-Gen,13
e6754344-7fd4-4ef3-84ce-4a68b29f5ea6,"Video shows an ""invasion of crocodiles"" that has flooded the beaches of Brazil and caused residents to panic.",fake,twitter post,human,post-GPT,x-Gen,21
12f02f35-e069-4226-9cec-cc5cb18d2e5e,McDonald’s added xylitol to its ice cream which is toxic to dogs.,fake,twitter post,human,post-GPT,x-Gen,15
aeea80f5-2bac-432a-ab94-0ce94f231949,Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.,fake,twitter post,human,post-GPT,x-Gen,20
fa8b9412-ef3f-448b-a1d3-7e5968b4b35a,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",fake,twitter post,human,post-GPT,x-Gen,48
5d515003-d55e-42f9-9030-82662c643191,"“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",fake,twitter post,human,post-GPT,x-Gen,32
